NAME,ACT,SCENE,TEXT,PASSED
神秘避难所,2,209,卓格南研究了一些古老的资料，试图找出塔·拉夏古墓的所在。虽然最后他自己并没有找到，但他却给你提供了一些有价值的线索。维奇瑞杰出的召唤者赫拉森，在这附近建造了一个神秘避难所。他是个令人畏惧的法师并控制了大量的恶魔为他守护避难所。如果你能找到赫拉森的避难所，卓格南确定在那里可以找到一些古墓位置的线索。卓格南指引你去和杰海因领主谈谈，他也许知道如果进入避难所。杰海因领主告诉你这一些麻烦的根源来自于他允许一群受到惊吓的妇女进入宫殿安全的地方躲避。一天晚上，惊叫声从她们的房间里传了出来。我的卫兵找到了那些可怜的女人，她们被来自地狱的恶魔用残忍的手段杀害了。我的卫兵们试图将恶魔从它们来时的裂缝中赶回去。可惜，这是一场注定要失败的战争。恶魔源源不断的从裂缝进入宫殿。杰海因为你打开了进入宫殿的大门。希望你能在里面找到神秘避难所。,信仰远胜於任何甲胄。护具可以保护你的身体，但是信仰会加强你充满勇气的心灵。
召唤者,2,212,在神秘避难所中找到那个假冒赫拉森的召唤者。杀掉他。,你让我回想起旧日的风光，当我还有二只手、二只脚和二个眼睛时…
七个古墓,2,214,你的勇敢和成就得到了杰海因领主对你的信任，并告诉了一些一直对你隐瞒的事情…卓格南和杰海因一致认定前阵子路过这里的黑暗流浪者可能就是暗黑破坏神本人！卓格南相信它正在沙漠中寻找塔·拉夏古墓的位置，那里关押着巴尔。找到真正的塔·拉夏古墓。,你做得很好，能够走到这一步的人的确不多，尤其是找到塔．拉夏的古墓。不幸的是，我听说暗黑破坏神和巴尔已经摆脱了你们的掌握，这是最不幸的事情……如果你们想要继续往东走，我已经授权给马席夫让他带你们穿越海洋。我可以想像他已经非常急迫的想要出航。祝你的任务好运，并且感谢你再度拯救了我摰爱的城市。你在鲁．高因会永远受到我们的欢迎，朋友。
黄金鸟,3,301,艾柯一直在问谁不想拥有永恒的生命。 一个男人曾经说听到过这样的传说，不过仅仅是个传说。找到库亚的黄金鸟，你将会破解永恒生命的秘密。,我必须承认，你的愚蠢任务对我一点意义也没有。但是现在我可以看到你所做所为的价值。我相信你是个极具智慧的人。
古代宗教之刃,3,303,赫拉铁力告诉你在码头附近设置了魔法力量以阻止恶魔的入侵。不过后来，这种魔法效果好象有所削弱。赫拉铁力可以及时的补充能量，神圣的史卡辛之刃会帮助补充这种能量。这把利刃的名字叫吉得宾。找到它，确保这里的安全。,你做得很好，高贵的英雄，奥玛斯在此向你致意。史卡辛的古老灵魂会因为你送回了这把圣刀而看护著你。现在，在经过了这麼多年之後，奥玛斯将再度使用它的力量，从黑暗的阴影中保护无辜之人。保护港湾的力量现在已经全面强化了。
克林姆的意志,3,305,找到克林姆四散的遗骨并合成克林姆的意志，并用它打碎控制球。 克林姆的眼你可以在蜘蛛森林中的蜘蛛洞窟中找到它。在蜘蛛洞穴中存在蜘蛛洞窟和蜘蛛洞穴。请区分好他们以确保顺利的找到克林姆的眼。克林姆的脑你可以在剥皮森林中的剥皮地窖中找到它。克林姆的心脏你可以在下水道中找到它。你可以从库拉斯特商场和库拉斯特上层进入下水道。克林姆的连枷你可以在崔凡克的三个高阶议会领主身上找到它，你杀死的第一个高阶议会领主会自动掉出连枷。,盛气凌人的大成功，英雄！你已经把克林姆的意志实体化了。使用它摧毁强制球体，就可以打开通往墨菲斯托的通路。愿真正的光明导引著你的道路。
蓝·依森的古书,3,307,"蓝·依森是一位古代的贤者，他在研究了3恶首对庇护之地的影响和黑暗的史卡辛米(Skatsimi)魔法之后写的一本书籍，被后来的萨卡兰姆所禁止，因为他们认为书中记载的内容过于黑暗，传播了邪恶的信息，所以也被称为""黑书(Black Book)"".据说这本书幸存下来，深藏于库拉斯特的黑暗神殿的深处。",你找到书了！它应该可以让我们更了解罪恶之源的真正面孔…啊，但是对你来说…
黑暗的神殿,3,309,奥玛斯非常肯定你的努力。你非常英勇。但是现在必须要面对日渐接近的恶魔军团，恶魔们正在这片大陆上肆虐。你必须干掉所有撒卡拉姆的高级议会成员！很久以前，这里的先辈们合力将憎恨之王囚禁在守护城堡中，现在这些议会成员获得了邪恶力量控制着这座城堡。,奥玛斯感激你，陌生人。你打破了长久以来的撒卡兰姆黑暗统治，并且对三个罪恶之源首度迎头痛击。不过，真正的考验还在你的面前。因为目前评议会所看守的东西，仍然活著那个黑色的高塔中。
守护者,3,311,奥玛斯告诉你现在暗黑破坏神和巴尔已经找到了神殿都市。他们正在设法解救他们的兄弟，墨菲斯托，他被囚禁在守护城堡的囚牢中。你必须在他的兄弟们之前找到他，阻止他把憎恨扩散到整个世界！,你在战斗中摧毁了罪恶之源。奥玛斯对你的感激无法用言语表达。但是在这个地方获胜并没有结束这场抗争，你必须进入永恒之门，并永远的阻止暗黑破坏神。
堕落的天使,4,401,泰瑞尔告诉你，这里很久之前一个黑暗，痛苦的灵魂堕入了被遗忘的国度。他就是衣卒尔，在以前的岁月中，他曾经是泰瑞尔最值得信任的伙伴，他们一同对抗来自地狱的恶魔。他曾经英勇善战，但因为轻视敌人而被恶魔们用卑鄙的手法俘获。他说出了很多他所知道的天堂中的秘密，他变的和以前截然不同。他现在是一个既不被天堂承认，也不被地狱收容的堕落天使。作为对他的惩罚，衣卒尔的灵魂被拘禁在一个从地狱深处召唤出来的傀儡身。他的灵魂长久以来一直承受着无尽的痛苦。找到衣卒尔并把他从痛苦的深渊中解救出来，结束他的罪行和苦难。,泰瑞尔是个信任我的笨蛋！你看，我就是那个告诉暗黑破坏神和他的兄弟，有关灵魂之石和如何摧毁它的人！就是我帮助罪恶之源，策画出如何把他们的灵魂放逐到你们的世界之中！这个计划启动的时间太长久，任何人类都无法加以阻止。地狱必须对你们世界溢出潮水般的鲜血及恶梦，才能够获得平衡！你和所有你的种族…将全面毁灭。
地狱熔炉,4,402,现在是打碎墨菲斯托灵魂之石的时候了，带上灵魂之石前往地狱熔炉。将它放置在祭坛上并用铁锤打碎。只有这样才可以永远防止墨菲斯托再次来到这个世界。,恭喜你，英雄！当然了…即使是暗黑破坏神本身，也可以感受到你打碎他兄弟的灵魂之石後，所释放出来的怒气。
恐怖的结局,4,405,该是猎杀并摧毁暗黑破坏神的时候了。但你得小心，恐怖之王并不容忽视。他几乎只用单手就摧毁了崔斯特瑞姆，并让尊贵而试著阻止他的英雄堕落并为他所用。这一次，你必须永远地摧毁他。只有摧毁他身上的灵魂之石，才能永远的放逐他的灵魂。祝你好运。虽然这可能是我们最黑暗的时刻，但是也可能是你最光荣的瞬间！,光明的美赞！你完成了不可能的事情！ 暗黑破坏神和墨菲斯托已经被放逐到当年他们诞生的黑暗地狱深渊，而堕落的灵魂之石也不复存在。你做的非常好，英雄。现在，你可以欢庆和平了。
哈洛加斯围城战,5,502,哈洛加斯城被巴尔手下的恶魔们包围了，如果你能证明给拉苏克及其他人看你能完成你的誓言，那么就去摧毁那些地狱投石机吧，它们对哈洛加斯城墙的威胁太大了。,嗯…你真的打破了围城战的局面。你的力量远比我想象的强大，你已经得到了我的尊敬。
亚瑞特山的救援行动,5,504,当围城结束后，拉苏克便开始担心起那些仍旧被怪物囚禁的手下们，没有人知道他们怎么样了。请你在穿越亚瑞特山的时候留意拉苏克的兵士们，并尽可能的救他们回来。,我相信这些人和我一样，都十分感激你为他们带来的自由。
冰之囚,5,505,安亚，已故长者的女儿，也是一名年轻药剂师，最近失踪了。她是一个特立独行的女人。可能就像你一样。在你到来的前一天晚上马拉看到她和尼拉塞克正在争吵，然后第二天她就不见了踪影。尼拉塞克对此有他自己的说法，但是马拉担心尼拉塞克在隐瞒一些事情，一些安亚知道的事情。找到并把安亚带回来，她知道尼拉塞克做了什么见不得人的事情。,
哈洛加斯的反叛行动,5,508,尼拉塞克密谋和巴尔妥协来保护城镇，他已经将古代人的神圣遗留物交给了巴尔，有了它就能毫无困难的走入山中。安亚试图阻止他却被他囚禁在怪物群中。必须在尼拉塞克毁灭一切之前阻止他，他的行为无法被原谅。尽管安亚想亲手致他于死地，但是她被囚禁的太久也太虚弱了。在他毁灭我们世代保护的东西之前你必须杀了他。,你阻止了尼拉塞克，但是圣物已经不在他的手中了！他一定已经把东西交给巴尔了。现在，当巴尔走到亚瑞特山颠峰时，将完全不用受到任何考验。该死的尼拉塞克！不过，我还是要感谢你的努力。请你让我用魔法把你的名字刻到你选定的一项物品上面，这是我唯一能做的事情了。
通道的祭典,5,515,终于可以登上山顶了，在你之前没有人敢去那里。对于哈洛加斯的人来说这里是神圣的，是我们的圣地，传说这里被古代人保护着，他们不允许弱者通过。这可以确认夸尔凯克的说法是否与你想的一样。古代人会来判断你是否到达了与之抗衡的实力，祝你好运。,古代人已经把最高的荣耀加诸在你的身上。现在开始，我对你再也没有任何存疑了。英雄万岁！
毁灭的前夕,5,521,当心，在你踏入山顶大门后， 毁灭之王巴尔已经在里面等着你了。泰瑞尔曾多次充当我们的保护神，但现在他也无能为力了。巴尔已经封锁了泰瑞尔进入世界之石大殿的精神力量。只有人类才有可能打倒他。他威胁着世界之石和整个世界。如果他控制了世界之石那么一切都结束了，我们必须尽快干掉它！,你的所作所为太惊人了，英雄。你打倒了最后一位罪恶之源，是光明的伟大胜利。你说世界之石非得摧毁不可实在太奇怪了。传说中完全没有提到这一点。也许，我们一直奋斗的目标终将失落…又也许，我们再也不用战斗了！
